央视节目,#genre#
CCTV17,http://106.59.2.162:55555/udp/239.200.201.128:8504
CCTV17,http://119.39.79.108:4022/udp/228.1.1.7:6007
CCTV17,http://125.70.183.105:8123/udp/239.93.0.92:5140
CCTV17,http://61.188.85.118:8001/udp/239.93.0.92:5140
CCTV17,http://61.188.85.163:8001/udp/239.93.0.92:5140
CCTV2,http://113.248.110.83:8181/udp/235.254.198.2:1284
CCTV2,http://113.248.110.83:8181/udp/235.254.198.52:1484
CCTV2,http://113.249.227.18:8000/udp/235.254.198.2:1284
CCTV2,http://113.249.227.18:8000/udp/235.254.198.52:1484
CCTV2,http://119.39.79.108:4022/udp/228.1.1.2:6002
CCTV2,http://119.86.72.213:4022/udp/235.254.198.2:1284
CCTV2,http://119.86.72.213:4022/udp/235.254.198.52:1484
CCTV2,http://125.70.183.105:8123/udp/239.93.0.149:5140
CCTV2,http://125.70.183.105:8123/udp/239.93.0.59:5140
CCTV2,http://125.70.183.105:8123/udp/239.93.1.23:6000
CCTV2,http://125.70.183.105:8123/udp/239.93.1.69:5140
CCTV2,http://61.188.85.118:8001/udp/239.93.0.149:5140
CCTV2,http://61.188.85.118:8001/udp/239.93.0.59:5140
CCTV2,http://61.188.85.118:8001/udp/239.93.1.23:6000
CCTV2,http://61.188.85.118:8001/udp/239.93.1.69:5140
CCTV2,http://61.188.85.163:8001/udp/239.93.0.149:5140
CCTV2,http://61.188.85.163:8001/udp/239.93.0.59:5140
CCTV2,http://61.188.85.163:8001/udp/239.93.1.23:6000
CCTV2,http://61.188.85.163:8001/udp/239.93.1.69:5140
CCTV3,http://113.248.110.83:8181/udp/235.254.198.141:1842
CCTV3,http://113.248.110.83:8181/udp/235.254.198.53:1488
CCTV3,http://113.249.227.18:8000/udp/235.254.198.141:1842
CCTV3,http://113.249.227.18:8000/udp/235.254.198.53:1488
CCTV3,http://119.39.79.108:4022/udp/228.1.1.3:6003
CCTV3,http://119.86.72.213:4022/udp/235.254.198.141:1842
CCTV3,http://119.86.72.213:4022/udp/235.254.198.53:1488
CCTV3,http://125.70.183.105:8123/udp/239.93.0.109:5140
CCTV3,http://125.70.183.105:8123/udp/239.93.0.150:5140
CCTV3,http://125.70.183.105:8123/udp/239.93.1.11:2223
CCTV3,http://125.70.183.105:8123/udp/239.93.1.70:5140
CCTV3,http://61.188.85.118:8001/udp/239.93.0.109:5140
CCTV3,http://61.188.85.118:8001/udp/239.93.0.150:5140
CCTV3,http://61.188.85.118:8001/udp/239.93.1.11:2223
CCTV3,http://61.188.85.118:8001/udp/239.93.1.70:5140
CCTV3,http://61.188.85.163:8001/udp/239.93.0.109:5140
CCTV3,http://61.188.85.163:8001/udp/239.93.0.150:5140
CCTV3,http://61.188.85.163:8001/udp/239.93.1.11:2223
CCTV3,http://61.188.85.163:8001/udp/239.93.1.70:5140
CCTV4,http://106.59.2.162:55555/udp/239.200.200.128:8652
CCTV4,http://113.248.110.83:8181/udp/235.254.198.183:7980
CCTV4,http://113.248.110.83:8181/udp/235.254.198.3:1288
CCTV4,http://113.249.227.18:8000/udp/235.254.198.183:7980
CCTV4,http://113.249.227.18:8000/udp/235.254.198.3:1288
CCTV4,http://119.39.79.108:4022/udp/228.1.1.40:6040
CCTV4,http://119.86.72.213:4022/udp/235.254.198.183:7980
CCTV4,http://119.86.72.213:4022/udp/235.254.198.3:1288
CCTV4,http://125.70.183.105:8123/udp/239.93.0.212:5140
CCTV4,http://125.70.183.105:8123/udp/239.93.0.60:5140
CCTV4,http://125.70.183.105:8123/udp/239.93.1.105:5140
CCTV4,http://61.188.85.118:8001/udp/239.93.0.212:5140
CCTV4,http://61.188.85.118:8001/udp/239.93.0.60:5140
CCTV4,http://61.188.85.118:8001/udp/239.93.1.105:5140
CCTV4,http://61.188.85.163:8001/udp/239.93.0.212:5140
CCTV4,http://61.188.85.163:8001/udp/239.93.0.60:5140
CCTV4,http://61.188.85.163:8001/udp/239.93.1.105:5140
CCTV4K,http://125.70.183.105:8123/udp/239.93.42.54:5140
CCTV4K,http://125.70.183.105:8123/udp/239.93.42.63:5140
CCTV4K,http://61.188.85.118:8001/udp/239.93.42.54:5140
CCTV4K,http://61.188.85.118:8001/udp/239.93.42.63:5140
CCTV4K,http://61.188.85.163:8001/udp/239.93.42.54:5140
CCTV4K,http://61.188.85.163:8001/udp/239.93.42.63:5140
CCTV5,http://106.59.2.162:55555/udp/239.200.201.5:4120
CCTV5,http://113.248.110.83:8181/udp/235.254.198.142:1846
CCTV5,http://113.248.110.83:8181/udp/235.254.198.54:1492
CCTV5,http://113.249.227.18:8000/udp/235.254.198.142:1846
CCTV5,http://113.249.227.18:8000/udp/235.254.198.54:1492
CCTV5,http://119.39.79.108:4022/udp/228.1.1.4:6004
CCTV5,http://119.39.79.108:4022/udp/228.1.1.5:6005
CCTV5,http://119.86.72.213:4022/udp/235.254.198.142:1846
CCTV5,http://119.86.72.213:4022/udp/235.254.198.54:1492
CCTV5,http://125.70.183.105:8123/udp/239.93.0.110:5140
CCTV5,http://125.70.183.105:8123/udp/239.93.0.158:5140
CCTV5,http://125.70.183.105:8123/udp/239.93.1.12:2224
CCTV5,http://125.70.183.105:8123/udp/239.93.1.36:8004
CCTV5,http://125.70.183.105:8123/udp/239.93.1.71:5140
CCTV5,http://125.70.183.105:8123/udp/239.93.1.79:5140
CCTV5,http://125.70.183.105:8123/udp/239.93.42.37:5140
CCTV5,http://61.188.85.118:8001/udp/239.93.0.110:5140
CCTV5,http://61.188.85.118:8001/udp/239.93.0.158:5140
CCTV5,http://61.188.85.118:8001/udp/239.93.1.12:2224
CCTV5,http://61.188.85.118:8001/udp/239.93.1.36:8004
CCTV5,http://61.188.85.118:8001/udp/239.93.1.71:5140
CCTV5,http://61.188.85.118:8001/udp/239.93.1.79:5140
CCTV5,http://61.188.85.118:8001/udp/239.93.42.37:5140
CCTV5,http://61.188.85.163:8001/udp/239.93.0.110:5140
CCTV5,http://61.188.85.163:8001/udp/239.93.0.158:5140
CCTV5,http://61.188.85.163:8001/udp/239.93.1.12:2224
CCTV5,http://61.188.85.163:8001/udp/239.93.1.36:8004
CCTV5,http://61.188.85.163:8001/udp/239.93.1.71:5140
CCTV5,http://61.188.85.163:8001/udp/239.93.1.79:5140
CCTV5,http://61.188.85.163:8001/udp/239.93.42.37:5140
CCTV5+,http://113.248.110.83:8181/udp/235.254.198.122:1764
CCTV5+,http://113.249.227.18:8000/udp/235.254.198.122:1764
CCTV5+,http://119.86.72.213:4022/udp/235.254.198.122:1764
CCTV6,http://106.59.2.162:55555/udp/239.200.200.21:9020
CCTV6,http://113.248.110.83:8181/udp/235.254.198.143:1852
CCTV6,http://113.248.110.83:8181/udp/235.254.198.55:1496
CCTV6,http://113.249.227.18:8000/udp/235.254.198.143:1852
CCTV6,http://113.249.227.18:8000/udp/235.254.198.55:1496
CCTV6,http://119.39.79.108:4022/udp/228.1.1.6:6006
